epoch,d_loss,g_loss,psnr
1,0.0,0.020681773153905358,30.341580853241915
2,0.0,0.01700870451927185,31.527270793371933
3,0.0,0.016449697060670173,31.760611190799086
4,0.9498030014736312,0.14625374633840152,29.795950696114296
5,0.9295917995163373,0.14258371959754398,29.856658648832333
6,0.8936091834749494,0.14243045146295003,29.85472652582188
7,0.7365523048796824,0.14698625726784978,29.728419372792082
8,0.6738278602864061,0.15067376640524183,29.61262586849988
9,0.6812637968293258,0.15036545516593117,29.6400281325888
10,0.6667695556146758,0.15097467965994563,29.63370464950524
11,0.6416749689187322,0.15041607917547226,29.660032513836395
